"type","name","time_units","begin_time","frequency","count","units"
"signal_2d","CdP (Centre des Pressions)","s",0.000,60,1784,"mm"

"time","x","y"
10.633,-26.23724511,-87.29733891
10.650,-28.9296209,-88.14
10.667,-31.29203985,-88.85518694
10.683,-33.14013644,-89.30396492
10.700,-34.87199938,-89.37699528
10.717,-35.85281327,-89.34382729
10.733,-36.90787608,-89.5239365
10.750,-37.53214286,-89.46413177
10.767,-38.08524969,-89.36021887
10.783,-38.86552096,-89.29055179
10.800,-38.73290879,-88.89348809
10.817,-39.44856894,-88.49715326
10.833,-39.37748975,-87.99064549
10.850,-39.89980045,-87.6380219
10.867,-39.93082108,-87.40536152
10.883,-40.03814338,-87.00723039
10.900,-40.20685583,-86.5715184
10.917,-41.12336645,-86.09190393
10.933,-41.26790541,-85.1838145
10.950,-41.86372699,-84.54375767
10.967,-42.42175623,-83.49797201
10.983,-43.32861088,-82.95721154
11.000,-43.63572955,-81.57144383
11.017,-43.83239609,-80.8025978
11.033,-44.693111,-79.7771945
11.050,-45.56692793,-78.59044178
11.067,-46.22695979,-77.5452173
11.083,-47.26654143,-76.46432778
11.100,-48.19790057,-75.46679036
11.117,-48.70798597,-74.50176393
11.133,-49.97777553,-73.49693071
11.150,-50.57644641,-72.40911998
11.167,-51.03423913,-71.57948497
11.183,-52.13832418,-70.42666361
11.200,-52.91850981,-69.50123671
11.217,-53.6090602,-68.53574939
11.233,-54.33092752,-67.13019042
11.250,-54.29710353,-65.96502671
11.267,-54.93100636,-64.59188039
11.283,-54.56216133,-63.05455665
11.300,-54.8620088,-61.99793799
11.317,-54.85478484,-60.9401127
11.333,-54.72974385,-59.52992828
11.350,-54.74200469,-57.93438137
11.367,-54.4529153,-56.94270663
11.383,-54.18789959,-55.86205943
11.400,-54.15009252,-55.21643709
11.417,-53.94911928,-53.97356304
11.433,-53.38203704,-52.9879321
11.450,-53.28892444,-52.27066474
11.467,-52.93206925,-51.19235367
11.483,-52.63310644,-50.77308168
11.500,-52.13557296,-49.42818425
11.517,-51.81872158,-48.58848181
11.533,-51.47480437,-47.4851318
11.550,-51.38577586,-46.33069581
11.567,-50.9510588,-45.40327919
11.583,-50.73490741,-44.12231481
11.600,-50.46224354,-43.2913572
11.617,-50.30744648,-42.22322458
11.633,-50.5783432,-41.34201205
11.650,-50.59747959,-40.5105
11.667,-50.69767157,-39.9723652
11.683,-50.68728554,-39.05147059
11.700,-50.59212582,-38.75430715
11.717,-50.38652344,-38.38143503
11.733,-50.53585255,-38.15495264
11.750,-50.34317201,-38.00513255
11.767,-50.65817901,-37.69805556
11.783,-50.54732143,-37.3442734
11.800,-50.6675738,-36.46960332
11.817,-50.36372951,-35.96317623
11.833,-50.25996835,-35.64241017
